Organization legal name or 'doing business as' name,Group PAC ID,State,Participating in PQRS,Measure Identifier,Measure Title,Inverse Measure,Measure Performance Rate,Footnote,Reporting Mechanism,Reported on PC Live Site
MCMINNVILLE IMAGING ASSOCIATES LLP,6507859279,OR,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,77,,REG,Y
MCMINNVILLE IMAGING ASSOCIATES LLP,6507859279,OR,Y,PQRS_GRP_146_1,Radiology: Inappropriate Use of Probably Benign Assessment Category in Mammography Screening*,Y,0,,REG,Y
MCMINNVILLE IMAGING ASSOCIATES LLP,6507859279,OR,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,87,,REG,Y
MCMINNVILLE IMAGING ASSOCIATES LLP,6507859279,OR,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,87,,REG,Y
MCMINNVILLE IMAGING ASSOCIATES LLP,6507859279,OR,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,99,,REG,Y
"WHEATON FRANCISCAN MEDICAL GROUP-SUSSEX, INC.",6507877891,WI,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,86,,REG,Y
"WHEATON FRANCISCAN MEDICAL GROUP-SUSSEX, INC.",6507877891,WI,Y,PQRS_GRP_121_1,Adult Kidney Disease: Laboratory Testing (Lipid Profile),N,67,,REG,Y
MEMORIAL URGENT CARE GROUP,6507878675,NY,Y,PQRS_GRP_47_1,Care Plan,N,99,,REG,Y
"HALEYVILLE MEDICAL ASSOCIATES, INC.",6507885985,AL,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,73,,REG,Y
"HALEYVILLE MEDICAL ASSOCIATES, INC.",6507885985,AL,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,75,,REG,Y
"HALEYVILLE MEDICAL ASSOCIATES, INC.",6507885985,AL,Y,PQRS_GRP_41_1,Osteoporosis: Pharmacologic Therapy for Men and Women Aged 50 Years and Older,N,57,,REG,Y
SPINE TEAM TEXAS PA,6507888757,TX,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,,REG,Y
SPINE TEAM TEXAS PA,6507888757,TX,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
SPINE TEAM TEXAS PA,6507888757,TX,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic  First OR Second Generation Cephalosporin,N,100,,REG,Y
SPINE TEAM TEXAS PA,6507888757,TX,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,100,,REG,Y
SPINE TEAM TEXAS PA,6507888757,TX,Y,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N,100,,REG,Y
WILKES-BARRE ACADEMIC MEDICINE LLC,6507914546,PA,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,81,,REG,Y
WILKES-BARRE ACADEMIC MEDICINE LLC,6507914546,PA,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,58,,REG,Y
WILKES-BARRE ACADEMIC MEDICINE LLC,6507914546,PA,Y,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,Y,75,,REG,Y
WILKES-BARRE ACADEMIC MEDICINE LLC,6507914546,PA,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,97,,REG,Y
DUBLIN PHYSICAL THERAPY INC,6507916483,CA,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,99,,REG,Y
DUBLIN PHYSICAL THERAPY INC,6507916483,CA,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,91,,REG,Y
DUBLIN PHYSICAL THERAPY INC,6507916483,CA,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,99,,REG,Y
ASBERY AND ASSOCIATES OB GYN LLC,6507993136,IL,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,28,,REG,N
ASBERY AND ASSOCIATES OB GYN LLC,6507993136,IL,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,10,,REG,Y
ASBERY AND ASSOCIATES OB GYN LLC,6507993136,IL,Y,PQRS_GRP_48_1,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,N,51,,REG,Y
ASBERY AND ASSOCIATES OB GYN LLC,6507993136,IL,Y,PQRS_GRP_50_1,Urinary Incontinence: Plan of Care for Urinary Incontinence in Women Aged 65 Years and Older,N,3,,REG,Y
DERMATOLOGY ASSOCIATES OF SWLA LLC,6608003736,LA,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care  Recall System,N,100,,REG,Y
DERMATOLOGY ASSOCIATES OF SWLA LLC,6608003736,LA,Y,PQRS_GRP_194_1,Oncology: Cancer Stage Documented,N,94,,REG,Y
DERMATOLOGY ASSOCIATES OF SWLA LLC,6608003736,LA,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,,REG,N
DERMATOLOGY ASSOCIATES OF SWLA LLC,6608003736,LA,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,88,,REG,Y
EMERGENCY SERVICES OF MONTGOMERY PC,6608028204,AL,Y,PQRS_GRP_116_1,Antibiotic Treatment for Adults with Acute Bronchitis: Avoidance of Inappropriate Use,N,26,,REG,N
EMERGENCY SERVICES OF MONTGOMERY PC,6608028204,AL,Y,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,Y,79,,REG,Y
EMERGENCY SERVICES OF MONTGOMERY PC,6608028204,AL,Y,PQRS_GRP_332_1,Adult Sinusitis: Appropriate Choice of Antibiotic: Amoxicillin Prescribed for Patients with Acute Bacterial Sinusitis (Appropriate Use),N,60,,REG,Y
EMERGENCY SERVICES OF MONTGOMERY PC,6608028204,AL,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,99,,REG,Y
EMERGENCY SERVICES OF MONTGOMERY PC,6608028204,AL,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,35,,REG,Y
WINTHROP COMMUNITY ENDOCRINOLOGY SERVICES PC,6608034293,NY,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,100,,REG,Y
WINTHROP COMMUNITY ENDOCRINOLOGY SERVICES PC,6608034293,NY,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,71,,REG,Y
WINTHROP COMMUNITY ENDOCRINOLOGY SERVICES PC,6608034293,NY,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,15,,REG,N
WINTHROP COMMUNITY ENDOCRINOLOGY SERVICES PC,6608034293,NY,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,3,,REG,Y
NORTH MISSISSIPPI MEDICAL CENTER SERVICES LLC,6608048590,MS,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,53,,REG,Y
NORTH MISSISSIPPI MEDICAL CENTER SERVICES LLC,6608048590,MS,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,76,,REG,Y
WINTHROP MEDICAL AFFILIATES URGENT CARE UNIVERSITY FACULTY PRACTICE C,6608092531,NY,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,12,,REG,N
WINTHROP MEDICAL AFFILIATES URGENT CARE UNIVERSITY FACULTY PRACTICE C,6608092531,NY,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,4,,REG,Y
WINTHROP MEDICAL AFFILIATES URGENT CARE UNIVERSITY FACULTY PRACTICE C,6608092531,NY,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,100,,REG,Y
RADIOLOGY CONSULTANTS OF WASHINGTON INC PS,6608763859,WA,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,93,,REG,Y
MSKCC REGIONAL NETWORK,6608765144,NY,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,75,,REG,Y
MSKCC REGIONAL NETWORK,6608765144,NY,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,73,,REG,Y
MSKCC REGIONAL NETWORK,6608765144,NY,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,68,,REG,Y
MSKCC REGIONAL NETWORK,6608765144,NY,Y,PQRS_GRP_194_1,Oncology: Cancer Stage Documented,N,100,,REG,Y
MSKCC REGIONAL NETWORK,6608765144,NY,Y,PQRS_GRP_47_1,Care Plan,N,75,,REG,Y
MSKCC REGIONAL NETWORK,6608765144,NY,Y,PQRS_GRP_71_1,Breast Cancer: Hormonal Therapy for Stage IC -IIIC Estrogen Receptor/Progesterone Receptor (ER/PR) Positive Breast Cancer,N,97,,REG,Y
MSKCC REGIONAL NETWORK,6608765144,NY,Y,PQRS_GRP_72_1,Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients,N,100,,REG,Y
DERMATOLOGY ASSOCIATES OF TALLAHASSEE PA,6608775499,FL,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care  Recall System,N,100,,REG,Y
DERMATOLOGY ASSOCIATES OF TALLAHASSEE PA,6608775499,FL,Y,PQRS_GRP_138_1,Melanoma: Coordination of Care,N,100,,REG,Y
DERMATOLOGY ASSOCIATES OF TALLAHASSEE PA,6608775499,FL,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,,REG,N
DERMATOLOGY ASSOCIATES OF TALLAHASSEE PA,6608775499,FL,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,9,,REG,N
DERMATOLOGY ASSOCIATES OF TALLAHASSEE PA,6608775499,FL,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,0,,REG,Y
DERMATOLOGY ASSOCIATES OF TALLAHASSEE PA,6608775499,FL,Y,PQRS_GRP_337_1,"Tuberculosis Prevention for Psoriasis, Psoriatic Arthritis and Rheumatoid Arthritis Patients on a Biological Immune Response Modifier",N,100,,REG,Y
DERMATOLOGY ASSOCIATES OF TALLAHASSEE PA,6608775499,FL,Y,PQRS_GRP_397_1,Melanoma Reporting,N,100,,REG,Y
DERMATOLOGY ASSOCIATES OF TALLAHASSEE PA,6608775499,FL,Y,PQRS_GRP_46_2,Medication Reconciliation,N,98,,REG,Y
DELTA MEDICAL GROUP,6608775531,MS,Y,PQRS_GRP_116_1,Antibiotic Treatment for Adults with Acute Bronchitis: Avoidance of Inappropriate Use,N,2,,REG,N
DELTA MEDICAL GROUP,6608775531,MS,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,55,,REG,Y
DELTA MEDICAL GROUP,6608775531,MS,Y,PQRS_GRP_51_1,Chronic Obstructive Pulmonary Disease (COPD): Spirometry Evaluation,N,25,,REG,Y
UNIVERSITY OF MIAMI,6608775820,FL,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,90,,REG,Y
UNIVERSITY OF MIAMI,6608775820,FL,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,63,,REG,Y
UNIVERSITY OF MIAMI,6608775820,FL,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,95,,REG,Y
UNIVERSITY OF MIAMI,6608775820,FL,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,96,,REG,Y
UNIVERSITY OF MIAMI,6608775820,FL,Y,PQRS_GRP_194_1,Oncology: Cancer Stage Documented,N,96,,REG,Y
UNIVERSITY OF MIAMI,6608776372,FL,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,83,,REG,Y
UNIVERSITY OF MIAMI,6608776372,FL,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,99,,REG,Y
UNIVERSITY OF MIAMI,6608776372,FL,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,48,,REG,Y
UNIVERSITY OF MIAMI,6608776372,FL,Y,PQRS_GRP_41_1,Osteoporosis: Pharmacologic Therapy for Men and Women Aged 50 Years and Older,N,77,,REG,Y
COMMUNITY HOSPITAL,6608784194,WY,Y,PQRS_GRP_178_1,Rheumatoid Arthritis (RA): Functional Status Assessment,N,100,,REG,Y
COMMUNITY HOSPITAL,6608784194,WY,Y,PQRS_GRP_46_1,Medication Reconciliation,N,100,,REG,N
COMMUNITY HOSPITAL,6608784194,WY,Y,PQRS_GRP_46_2,Medication Reconciliation,N,100,,REG,Y
COMMUNITY HOSPITAL,6608784194,WY,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,100,,REG,Y
COMMUNITY HOSPITAL,6608784194,WY,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,100,,REG,Y
"VASCULAR AND INTERVENTIONAL SPECIALISTS OF ORANGE COUNTY, INC.",6608789359,CA,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic  First OR Second Generation Cephalosporin,N,100,,REG,Y
"VASCULAR AND INTERVENTIONAL SPECIALISTS OF ORANGE COUNTY, INC.",6608789359,CA,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,100,,REG,Y
"VASCULAR AND INTERVENTIONAL SPECIALISTS OF ORANGE COUNTY, INC.",6608789359,CA,Y,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N,100,,REG,Y
"VASCULAR AND INTERVENTIONAL SPECIALISTS OF ORANGE COUNTY, INC.",6608789359,CA,Y,PQRS_GRP_46_2,Medication Reconciliation,N,100,,REG,Y
"VASCULAR AND INTERVENTIONAL SPECIALISTS OF ORANGE COUNTY, INC.",6608789359,CA,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,100,,REG,Y
PULMONARY DISEASE CLINICAL GROUP,6608821657,NY,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,94,,REG,Y
PULMONARY DISEASE CLINICAL GROUP,6608821657,NY,Y,PQRS_GRP_121_1,Adult Kidney Disease: Laboratory Testing (Lipid Profile),N,57,,REG,Y
PULMONARY DISEASE CLINICAL GROUP,6608821657,NY,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,85,,REG,Y
PULMONARY DISEASE CLINICAL GROUP,6608821657,NY,Y,PQRS_GRP_51_1,Chronic Obstructive Pulmonary Disease (COPD): Spirometry Evaluation,N,77,,REG,Y
UNITED OBSTETRICS AND GYNECOLOGY PC,6608835046,GA,Y,PQRS_GRP_48_1,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,N,97,,REG,Y
UNITED OBSTETRICS AND GYNECOLOGY PC,6608835046,GA,Y,PQRS_GRP_50_1,Urinary Incontinence: Plan of Care for Urinary Incontinence in Women Aged 65 Years and Older,N,96,,REG,Y
"CLINICAL AND SUPPORT OPTIONS, INC",6608835350,MA,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,80,,REG,Y
RHEUMATOLOGY ASSOCIATES,6608836960,KY,Y,PQRS_GRP_109_1,Osteoarthritis (OA): Function and Pain Assessment,N,99,,REG,Y
RHEUMATOLOGY ASSOCIATES,6608836960,KY,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,42,,REG,Y
RHEUMATOLOGY ASSOCIATES,6608836960,KY,Y,PQRS_GRP_41_1,Osteoporosis: Pharmacologic Therapy for Men and Women Aged 50 Years and Older,N,98,,REG,Y
STRONG MEDICAL GROUP,6608850987,NY,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,96,,REG,Y
STRONG MEDICAL GROUP,6608850987,NY,Y,PQRS_GRP_121_1,Adult Kidney Disease: Laboratory Testing (Lipid Profile),N,72,,REG,Y
STRONG MEDICAL GROUP,6608850987,NY,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,95,,REG,Y
STRONG MEDICAL GROUP,6608850987,NY,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,71,,REG,Y
STRONG MEDICAL GROUP,6608850987,NY,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,89,,REG,Y
HEBREW REHABILITATION CENTER,6608855119,MA,Y,PQRS_GRP_47_1,Care Plan,N,100,,REG,Y
HEALING HANDS THERAPY LTD,6608855747,MI,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,,REG,Y
HEALING HANDS THERAPY LTD,6608855747,MI,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
"TALLAHASSEE EAR, NOSE AND THROAT-HEAD AND NECK SURGERY, P.A.",6608858840,FL,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,80,,REG,Y
"TALLAHASSEE EAR, NOSE AND THROAT-HEAD AND NECK SURGERY, P.A.",6608858840,FL,Y,PQRS_GRP_93_1,Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy  Avoidance of Inappropriate Use,N,90,,REG,Y
ROCKY MOUNTAIN INFECTIOUS DISEASES PC,6608862354,WY,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,61,,REG,Y
UNIVERSITY RADIOLOGY GROUP PC,6608868500,NJ,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,26,,REG,Y
UNIVERSITY RADIOLOGY GROUP PC,6608868500,NJ,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,39,,REG,Y
UNIVERSITY RADIOLOGY GROUP PC,6608868500,NJ,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,22,,REG,Y
UNIVERSITY RADIOLOGY GROUP PC,6608868500,NJ,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,0,,REG,N
UNIVERSITY RADIOLOGY GROUP PC,6608868500,NJ,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,0,,REG,Y
UNIVERSITY RADIOLOGY GROUP PC,6608868500,NJ,Y,PQRS_GRP_324_1,"Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Testing in Asymptomatic, Low-Risk Patients",Y,0,,REG,N
UNIVERSITY RADIOLOGY GROUP PC,6608868500,NJ,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,23,,REG,Y
PREMIER HEALTH MANAGEMENT INC,6608869342,AL,Y,PQRS_GRP_93_1,Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy  Avoidance of Inappropriate Use,N,87,,REG,Y
"SPINE CENTER AND ORTHOPEDIC REHABILITATION OF ENGLEWOOD, PC",6608892328,NJ,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,99,,REG,Y
"SPINE CENTER AND ORTHOPEDIC REHABILITATION OF ENGLEWOOD, PC",6608892328,NJ,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,100,,REG,Y
"SPINE CENTER AND ORTHOPEDIC REHABILITATION OF ENGLEWOOD, PC",6608892328,NJ,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
HANOVER HEALTH CORPORATION,6608920384,PA,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,88,,REG,Y
HANOVER HEALTH CORPORATION,6608920384,PA,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,17,,REG,N
HANOVER HEALTH CORPORATION,6608920384,PA,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,9,,REG,Y
HANOVER HEALTH CORPORATION,6608920384,PA,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,93,,REG,Y
CAROLINA RHEUMATOLOGY AND INTERNAL MEDICINE PA,6608921242,NC,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,96,,REG,Y
CAROLINA RHEUMATOLOGY AND INTERNAL MEDICINE PA,6608921242,NC,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,89,,REG,Y
CAROLINA RHEUMATOLOGY AND INTERNAL MEDICINE PA,6608921242,NC,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,87,,REG,Y
CAROLINA RHEUMATOLOGY AND INTERNAL MEDICINE PA,6608921242,NC,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,72,,REG,Y
CAROLINA RHEUMATOLOGY AND INTERNAL MEDICINE PA,6608921242,NC,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,92,,REG,Y
DESERT SPINE AND SPORTS PHYSICIANS PLLC,6608927504,AZ,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,84,,REG,Y
DESERT SPINE AND SPORTS PHYSICIANS PLLC,6608927504,AZ,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,96,,REG,Y
DESERT SPINE AND SPORTS PHYSICIANS PLLC,6608927504,AZ,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,94,,REG,Y
DESERT SPINE AND SPORTS PHYSICIANS PLLC,6608927504,AZ,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,82,,REG,Y
DESERT SPINE AND SPORTS PHYSICIANS PLLC,6608927504,AZ,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,81,,REG,Y
DESERT SPINE AND SPORTS PHYSICIANS PLLC,6608927504,AZ,Y,PQRS_GRP_41_1,Osteoporosis: Pharmacologic Therapy for Men and Women Aged 50 Years and Older,N,83,,REG,Y
DESERT SPINE AND SPORTS PHYSICIANS PLLC,6608927504,AZ,Y,PQRS_GRP_48_1,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,N,95,,REG,Y
HATO REY PATHOLOGY ASSOCIATES INC,6608959804,PR,,PQRS_GRP_100_1,Colorectal Cancer Resection Pathology Reporting: pT Category (Primary Tumor) and pN Category (Regional Lymph Nodes) with Histologic Grade,N,100,,REG,N
SKIN CARE SPECIALTY PHYSICIANS LLC,6608978622,MD,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care  Recall System,N,100,,REG,Y
SKIN CARE SPECIALTY PHYSICIANS LLC,6608978622,MD,Y,PQRS_GRP_138_1,Melanoma: Coordination of Care,N,100,,REG,Y
SKIN CARE SPECIALTY PHYSICIANS LLC,6608978622,MD,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,100,,REG,Y
SKIN CARE SPECIALTY PHYSICIANS LLC,6608978622,MD,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,,REG,N
SKIN CARE SPECIALTY PHYSICIANS LLC,6608978622,MD,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,100,,REG,Y
NORTHWEST CARDIOLOGY LLC,6608991526,AZ,Y,PQRS_GRP_5_1,Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,76,,REG,Y
NORTHWEST CARDIOLOGY LLC,6608991526,AZ,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,83,,REG,Y
COVEY PHYSICAL THERAPY,6709045826,ME,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,97,,REG,Y
COVEY PHYSICAL THERAPY,6709045826,ME,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,85,,REG,Y
COVEY PHYSICAL THERAPY,6709045826,ME,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,91,,REG,Y
COVEY PHYSICAL THERAPY,6709045826,ME,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,59,,REG,Y
COVEY PHYSICAL THERAPY,6709045826,ME,Y,PQRS_GRP_181_1,Elder Maltreatment Screen and Follow-Up Plan,N,51,,REG,Y
COVEY PHYSICAL THERAPY,6709045826,ME,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
LONESTAR HOSPITAL MEDICINE ASSOCIATES PA,6709049703,TX,Y,PQRS_GRP_32_1,Stroke and Stroke Rehabilitation: Discharged on Antithrombotic Therapy,N,83,,REG,Y
LONESTAR HOSPITAL MEDICINE ASSOCIATES PA,6709049703,TX,Y,PQRS_GRP_33_1,Stroke and Stroke Rehabilitation: Anticoagulant Therapy Prescribed for Atrial Fibrillation (AF) at Discharge,N,90,,REG,Y
LONESTAR HOSPITAL MEDICINE ASSOCIATES PA,6709049703,TX,Y,PQRS_GRP_47_1,Care Plan,N,92,,REG,Y
LONESTAR HOSPITAL MEDICINE ASSOCIATES PA,6709049703,TX,Y,PQRS_GRP_5_1,Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,91,,REG,Y
"HEMATOLOGY-ONCOLOGY ASSOCIATES OF CNY, PC",6709787823,NY,Y,PQRS_GRP_156_1,Oncology: Radiation Dose Limits to Normal Tissues,N,100,,REG,Y
"HEMATOLOGY-ONCOLOGY ASSOCIATES OF CNY, PC",6709787823,NY,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,76,,REG,N
"HEMATOLOGY-ONCOLOGY ASSOCIATES OF CNY, PC",6709787823,NY,Y,PQRS_GRP_68_1,Hematology: Myelodysplastic Syndrome (MDS): Documentation of Iron Stores in Patients Receiving Erythropoietin Therapy,N,98,,REG,N
"HEMATOLOGY-ONCOLOGY ASSOCIATES OF CNY, PC",6709787823,NY,Y,PQRS_GRP_69_1,Hematology: Multiple Myeloma: Treatment with Bisphosphonates,N,99,,REG,Y
"HEMATOLOGY-ONCOLOGY ASSOCIATES OF CNY, PC",6709787823,NY,Y,PQRS_GRP_70_1,Hematology: Chronic Lymphocytic Leukemia (CLL): Baseline Flow Cytometry,N,100,,REG,Y
PIKEVILLE MEDICAL CENTER INC,6709790157,KY,Y,PQRS_GRP_122_1,Adult Kidney Disease: Blood Pressure Management,N,100,,REG,N
PIKEVILLE MEDICAL CENTER INC,6709790157,KY,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,,REG,Y
PIKEVILLE MEDICAL CENTER INC,6709790157,KY,Y,PQRS_GRP_143_1,Oncology: Medical and Radiation  Pain Intensity Quantified,N,100,,REG,Y
PIKEVILLE MEDICAL CENTER INC,6709790157,KY,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,100,,REG,Y
AURORA MEDICAL GROUP INC,6709794258,WI,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,76,,WI,Y
